CountryISO,CountryName,Admin1ISO,Admin1Name,Admin2Name,CityName
US,UNITED STATES OF AMERICA,US-KS,KANSAS,LABETTE COUNTY,PARSONS
US,UNITED STATES OF AMERICA,US-KS,KANSAS,LEAVENWORTH COUNTY,LEAVENWORTH
US,UNITED STATES OF AMERICA,US-KS,KANSAS,LYON COUNTY,EMPORIA
US,UNITED STATES OF AMERICA,US-KS,KANSAS,MONTGOMERY COUNTY,COFFEYVILLE
US,UNITED STATES OF AMERICA,US-KS,KANSAS,MONTGOMERY COUNTY,INDEPENDENCE
US,UNITED STATES OF AMERICA,US-KS,KANSAS,NEOSHO COUNTY,CHANUTE
US,UNITED STATES OF AMERICA,US-KS,KANSAS,POTTAWATOMIE COUNTY,LOUISVILLE
US,UNITED STATES OF AMERICA,US-KS,KANSAS,RENO COUNTY,HUTCHINSON
US,UNITED STATES OF AMERICA,US-KS,KANSAS,SALINE COUNTY,SALINA
US,UNITED STATES OF AMERICA,US-KS,KANSAS,SEDGWICK COUNTY,WICHITA
US,UNITED STATES OF AMERICA,US-KS,KANSAS,SHAWNEE COUNTY,TOPEKA
US,UNITED STATES OF AMERICA,US-KS,KANSAS,SUMNER COUNTY,WELLINGTON
US,UNITED STATES OF AMERICA,US-KS,KANSAS,WYANDOTTE COUNTY,KANSAS CITY
US,UNITED STATES OF AMERICA,US-KY,KENTUCKY,BOYD COUNTY,ASHLAND
US,UNITED STATES OF AMERICA,US-KY,KENTUCKY,CAMPBELL COUNTY,NEWPORT
US,UNITED STATES OF AMERICA,US-KY,KENTUCKY,CHRISTIAN COUNTY,HOPKINSVILLE
US,UNITED STATES OF AMERICA,US-KY,KENTUCKY,DAVIESS COUNTY,OWENSBORO
US,UNITED STATES OF AMERICA,US-KY,KENTUCKY,FAYETTE COUNTY,LEXINGTON
US,UNITED STATES OF AMERICA,US-KY,KENTUCKY,FRANKLIN COUNTY,FRANKFORT
US,UNITED STATES OF AMERICA,US-KY,KENTUCKY,HENDERSON COUNTY,HENDERSON
US,UNITED STATES OF AMERICA,US-KY,KENTUCKY,JEFFERSON COUNTY,LOUISVILLE
US,UNITED STATES OF AMERICA,US-KY,KENTUCKY,KENTON COUNTY,COVINGTON
US,UNITED STATES OF AMERICA,US-KY,KENTUCKY,MCCRACKEN COUNTY,PADUCAH
US,UNITED STATES OF AMERICA,US-KY,KENTUCKY,OHIO COUNTY,HARTFORD
US,UNITED STATES OF AMERICA,US-KY,KENTUCKY,WASHINGTON COUNTY,SPRINGFIELD
US,UNITED STATES OF AMERICA,US-LA,LOUISIANA,CADDO PARISH,CADDO
US,UNITED STATES OF AMERICA,US-LA,LOUISIANA,CADDO PARISH,SHREVEPORT
